Player,Pos,Age,Tm,G,GS,MP/G,FG/G,FGA/G,FG%,3P/G,3PA/G,3P%,2P/G,2PA/G,2P%,eFG%,FT/G,FTA/G,FT%,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G
Glen Rice,SF,35,HOU,62,26,24.7,3.2,7.4,.429,1.6,4.1,.398,1.5,3.3,.468,.539,1.0,1.3,.759,0.5,2.0,2.5,1.0,0.4,0.1,0.9,1.6,9.0
Jason Richardson,SG,22,GSW,82,82,32.9,5.8,14.2,.410,1.5,4.1,.368,4.3,10.1,.427,.463,2.5,3.3,.764,1.4,3.3,4.6,3.0,1.1,0.3,2.2,2.5,15.6
Quentin Richardson,SG,22,LAC,59,13,23.2,3.4,9.3,.372,1.0,3.4,.308,2.4,5.9,.408,.428,1.4,2.1,.685,1.7,3.1,4.8,0.9,0.6,0.2,1.1,1.6,9.4
Antoine Rigaudeau,SG,31,DAL,11,0,8.3,0.7,3.2,.229,0.1,0.5,.200,0.6,2.7,.233,.243,0.0,0.0,,0.4,0.4,0.7,0.5,0.3,0.0,0.5,1.0,1.5
Clifford Robinson,PF,36,DET,81,69,34.9,4.6,11.5,.398,1.1,3.2,.336,3.5,8.3,.422,.444,2.0,2.9,.676,1.0,2.9,3.9,3.3,1.1,1.1,2.0,3.2,12.2
,C,37,SAS,64,64,26.2,3.1,6.6,.469,0.0,0.0,,3.1,6.6,.469,.469,2.4,3.3,.710,2.5,5.4,7.9,1.0,0.8,1.7,1.3,2.0,8.5
Eddie Robinson,SF,26,CHI,64,18,21.2,2.4,4.9,.492,0.0,0.2,.214,2.4,4.7,.505,.497,0.8,1.0,.810,1.2,1.9,3.1,1.0,1.0,0.2,0.8,1.9,5.7
Glenn Robinson,SF,30,ATL,69,68,37.6,7.8,18.1,.432,1.3,3.8,.342,6.5,14.3,.456,.468,3.9,4.4,.876,1.2,5.4,6.6,3.0,1.3,0.4,3.6,2.7,20.8
Rodney Rogers,PF,31,NJN,68,0,19.2,2.7,6.7,.402,0.6,1.9,.333,2.0,4.8,.430,.451,1.0,1.3,.756,0.9,3.0,3.9,1.6,0.7,0.5,1.3,2.8,7.0
Sean Rooks,C,33,LAC,70,38,19.2,1.8,4.2,.421,0.0,0.0,.000,1.8,4.2,.422,.421,0.7,0.8,.810,0.8,2.3,3.1,1.0,0.5,0.6,0.9,2.5,4.2
